"Lake_ID","Year","SpeciesName","Fate","Weight","Report"
2,2017,"northern pike","Released",1000,"Individual"
2,2017,"pikeperch","Harvested",2000,"Individual"
2,2017,"pikeperch","Harvested",1500,"Individual"
2,2017,"tench","Released",2000,"Individual"
2,2017,"perch","Released",16.6666666666667,"Joint"
2,2017,"perch","Released",16.6666666666667,"Joint"
2,2017,"perch","Released",16.6666666666667,"Joint"
2,2017,"perch","Released",16.6666666666667,"Joint"
2,2017,"perch","Released",16.6666666666667,"Joint"
2,2017,"perch","Released",16.6666666666667,"Joint"
2,2017,"northern pike","Released",5000,"Individual"
2,2017,"pikeperch","Harvested",750,"Individual"
2,2017,"pikeperch","Released",1750,"Joint"
2,2017,"pikeperch","Released",1750,"Joint"
2,2017,"pikeperch","Released",1750,"Joint"
2,2017,"pikeperch","Released",1750,"Joint"
2,2017,"pikeperch","Harvested",2000,"Individual"
2,2017,"pikeperch","Released",1666.66666666667,"Joint"
2,2017,"pikeperch","Released",1666.66666666667,"Joint"
2,2017,"pikeperch","Released",1666.66666666667,"Joint"
2,2017,"pikeperch","Released",1000,"Individual"
2,2017,"northern pike","Released",1333.33333333333,"Joint"
2,2017,"northern pike","Released",1333.33333333333,"Joint"
2,2017,"northern pike","Released",1333.33333333333,"Joint"
2,2017,"perch","Released",375,"Joint"
2,2017,"perch","Released",375,"Joint"
2,2017,"pikeperch","Released",1000,"Individual"
2,2017,"northern pike","Released",1333.33333333333,"Joint"
2,2017,"northern pike","Released",1333.33333333333,"Joint"
2,2017,"northern pike","Released",1333.33333333333,"Joint"
2,2017,"perch","Released",375,"Joint"
2,2017,"perch","Released",375,"Joint"
2,2017,"pikeperch","Harvested",2000,"Individual"
2,2017,"perch","Released",250,"Joint"
2,2017,"perch","Released",250,"Joint"
2,2017,"perch","Released",250,"Joint"
2,2017,"pikeperch","Harvested",2000,"Individual"
2,2017,"perch","Released",250,"Joint"
2,2017,"perch","Released",250,"Joint"
2,2017,"perch","Released",250,"Joint"
2,2017,"pikeperch","Released",3000,"Individual"
2,2017,"perch","Released",100,"Individual"
2,2017,"perch","Released",100,"Joint"
